name,size,crtime,parent_path,malware_class,delete_flag
01_Music_auto_rated_at_5_stars.wpl,1044,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
01_Music_auto_rated_at_5_stars.wpl-slack,3052,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
02_Music_added_in_the_last_month.wpl,1279,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
02_Music_added_in_the_last_month.wpl-slack,2817,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
03_Music_rated_at_4_or_5_stars.wpl,1267,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
03_Music_rated_at_4_or_5_stars.wpl-slack,2829,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
04_Music_played_in_the_last_month.wpl,1284,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
04_Music_played_in_the_last_month.wpl-slack,2812,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
05_Pictures_taken_in_the_last_month.wpl,797,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
05_Pictures_taken_in_the_last_month.wpl-slack,3299,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
06_Pictures_rated_4_or_5_stars.wpl,785,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
06_Pictures_rated_4_or_5_stars.wpl-slack,3311,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
07_TV_recorded_in_the_last_week.wpl,1040,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
07_TV_recorded_in_the_last_week.wpl-slack,3056,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
08_Video_rated_at_4_or_5_stars.wpl,1020,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
08_Video_rated_at_4_or_5_stars.wpl-slack,3076,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
09_Music_played_the_most.wpl,1025,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
09_Music_played_the_most.wpl-slack,3071,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
10_All_Music.wpl,1063,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
10_All_Music.wpl-slack,3033,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
11_All_Pictures.wpl,585,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
12_All_Video.wpl,1079,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
12_All_Video.wpl-slack,3017,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
Messenger,272,1392577865,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,272,1392577865,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Messenger/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Messenger/,None,0
ContactsLog.txt,22696,1432644375,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Messenger/,None,0
ContactsLog.txt-slack,1880,1432644375,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Messenger/,None,0
PlayReady,48,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,48,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/PlayReady/,None,0
